time,avg_generation solar,avg_generation wind onshore,avg_total load actual,max_generation solar,max_generation wind onshore,max_total load actual
2015-10-09,1718.9583333333333,1668.2083333333333,28435.75,4767.0,2239.0,32430.0
2015-10-10,860.0,3055.9583333333335,24463.083333333332,2751.0,3971.0,27912.0
2015-10-11,1283.9583333333333,1381.8333333333333,28240.291666666668,3907.0,3346.0,32915.0
2015-10-12,482.2083333333333,2846.1666666666665,30283.041666666668,1710.0,7221.0,35683.0
2015-10-13,677.0416666666666,6580.833333333333,27375.416666666668,2148.0,7335.0,32218.0
2015-10-14,1454.8333333333333,7032.333333333333,27626.125,4272.0,7831.0,32243.0
2015-10-15,1688.875,2529.25,27628.416666666668,4839.0,5479.0,32460.0
2015-10-16,1058.4166666666667,1550.4583333333333,27750.875,3370.0,4459.0,31634.0
2015-10-17,602.9166666666666,6275.75,24969.25,2227.0,7963.0,28619.0
2015-10-18,362.25,3104.7083333333335,23021.625,1204.0,4147.0,27647.0
2015-10-19,505.8333333333333,4770.125,27829.958333333332,1867.0,5776.0,32789.0
2015-10-20,506.2083333333333,10043.583333333334,28120.916666666668,1822.0,11245.0,32951.0
2015-10-21,1305.375,7900.375,27932.583333333332,4034.0,9223.0,32654.0
2015-10-22,1681.25,5731.916666666667,27827.833333333332,4891.0,6963.0,32493.0
2015-10-23,775.0833333333334,2333.2083333333335,27871.458333333332,2651.0,5027.0,31919.0
2015-10-24,363.0,2348.75,24716.541666666668,1333.0,5019.0,28128.0
2015-10-25,679.5833333333334,3629.7083333333335,22876.958333333332,2323.0,4884.0,27167.0
2015-10-26,401.2916666666667,5302.916666666667,27672.5,1260.0,6612.0,32677.0
2015-10-27,675.6666666666666,7686.208333333333,28213.875,2227.0,9864.0,33125.0
2015-10-28,680.5,9931.416666666666,28201.541666666668,2270.0,11696.0,33176.0
2015-10-29,1182.7916666666667,5701.833333333333,28185.875,3612.0,8558.0,33106.0
2015-10-30,1301.7916666666667,6846.416666666667,27927.083333333332,4327.0,9018.0,31982.0
2015-10-31,667.2916666666666,5767.083333333333,25008.291666666668,2338.0,8696.0,28086.0
2015-11-01,908.4166666666666,6019.75,26730.25,3164.0,8123.0,32773.0
2015-11-02,690.8333333333334,2647.7916666666665,33525.083333333336,2292.0,3978.0,39029.0
2015-11-03,2119.4166666666665,2000.375,29235.291666666668,5482.0,2642.0,34053.0
2015-11-04,1071.75,1870.7916666666667,25447.416666666668,2899.0,4605.0,28992.0
2015-11-05,2368.4583333333335,3417.4583333333335,28008.125,5319.0,4790.0,32205.0
2015-11-06,879.875,3626.0833333333335,29346.791666666668,2220.0,6224.0,33324.0
2015-11-07,2577.2916666666665,3908.5,28856.833333333332,5300.0,6012.0,32380.0
2015-11-08,1636.0416666666667,3050.9166666666665,29534.041666666668,4086.0,4653.0,34277.0
